brand,category,dimension10,dimension11,dimension24,dimension25,dimension26,dimension9,ean,id,name,price
HP,Informática y telefonía,Portátiles,Portátiles de 14 a 16.9,21.0,InStock,5.99,Informática,0192545154291,1405429,"Portátil - HP Notebook 15-BW064NS, 15.6"", AMD A9-9420, 8 GB RAM, 1TB HDD, AMD Radeon R5, W10,",445.0
ASUS,Informática y telefonía,Portátiles,Portátiles de 14 a 16.9,21.0,InStock,5.99,Informática,4718017026390,1436881,"Portátil Gaming - Asus FX504GD-DM473 15.6"", Intel Core i7-8750H, 8GB, 32GB, NVIDIA GTX1050, Negro",905.0
LENOVO,Informática y telefonía,Portátiles,Portátiles de 14 a 16.9,21.0,InStock,5.99,Informática,0192330471091,1401135,"Portátil - Lenovo Ideapad 120S-14IAP, 14"" HD TN AG, Intel® Celeron® N3350, 4 GB RAM, Azul tejano",399.0
LENOVO,Informática y telefonía,Portátiles,Portátiles de 14 a 16.9,21.0,InStock,5.99,Informática,0191999984843,1383009,"Portátil - Lenovo 320-15, 15.6"", AMD E2-9000E, 4 GB RAM, 1 TB HDD, AMD Radeon R2, Windows 10 Home",329.0
HP,Informática y telefonía,Portátiles,Portátiles de 14 a 16.9,21.0,InStock,5.99,Informática,0192545154369,1405433,"Portátil - HP Notebook 15-BW067NS, 15.6"", AMD A9-9420, 8 GB RAM, 1 TB, AMD Radeon 520, Windows 10,",489.0
HP,Informática y telefonía,Portátiles,Portátiles de 14 a 16.9,21.0,InStock,5.99,Informática,0191628126491,1418795,HP 15-BS014NS 15/I5-7200U/4GB/500GB/W10,471.0
ASUS,Informática y telefonía,Portátiles,Portátiles de 14 a 16.9,21.0,InStock,5.99,Informática,4712900668612,1393638,"Portátil Gaming - Asus GL502VM-FY377T, 15.6"", Full HD, Intel® Core i7-7700HQ, 12GB de RAM, 1TB",1144.0
ACER,Informática y telefonía,Portátiles,Portátiles de 14 a 16.9,21.0,InStock,5.99,Informática,4713883724937,1421176,"Portátil - Acer Aspire 3, A315-51-39N7, I3-6006U, 8GB, 1TB, W10, Rojo",449.0
HP,Informática y telefonía,Portátiles,Portátiles de 14 a 16.9,21.0,InStock,5.99,Informática,0191628586684,1400201,"Portátil - HP 250 G6, 15.6"", Intel® Core i5-7200U, 4GB RAM, 500GB, FreeDos, Negro",463.0
ASUS,Informática y telefonía,Portátiles,Portátiles de 14 a 16.9,21.0,InStock,5.99,Informática,4712900963779,1425777,"Portátil - Asus A540NA-GQ058, 15.6"", HD, Intel® Celeron® N3350, 4 GB RAM, 500 GB HDD, Freedos,",219.0
LENOVO,Informática y telefonía,Portátiles,Portátiles de 14 a 16.9,21.0,InStock,5.99,Informática,0192651535434,1427746,330-15IGM 15/N4000/4GB/500GB/UMA/FREEDOS,306.0
HP,Informática y telefonía,Portátiles,Portátiles de 14 a 16.9,21.0,InStock,5.99,Informática,0192545154321,1418799,"HP Portátil - HP 15-bs526ns, 15.6"" HD, Intel® Core i5-7200U, 4 GB RAM, 1 TB HDD, Windows 10, Blanco",499.0
HP,Informática y telefonía,Portátiles,Portátiles de 14 a 16.9,21.0,InStock,5.99,Informática,0192545197885,1405424,"Portátil - HP 250 G6, 15.6"", Intel® Core i3-6006U, 4GB RAM, 128GB SSD, FreeDos, Negro",419.0
LENOVO,Informática y telefonía,Portátiles,Portátiles de 14 a 16.9,21.0,InStock,5.99,Informática,0192158380346,1401691,"Portátil - Lenovo Ideapad 320-15AST, 15.6"" HD, AMD A9-9420, 4 GB RAM, 128 GB SSD, AMD Radeon R5,",399.0
ASUS,Informática y telefonía,Portátiles,Portátiles de 14 a 16.9,21.0,InStock,5.99,Informática,4712900848069,1393577,"Portátil - ASUS ZenBook Pro UX550VD-BN010T, 15.6"", Full HD, Intel® Core i7-7500HQ, 8GB de RAM,",1299.0
ACER,Informática y telefonía,Portátiles,Portátiles de 14 a 16.9,21.0,InStock,5.99,Informática,4713883829274,1426490,ASPIRE3 A315-53-561Y 15/I5-8250U/4GB/16GB+1TB/UMA/,549.0
